GEOID,LAND_AREA,Tot_Population_ACS_17_21,pct_Males_ACS_17_21,Median_Age_ACS_17_21,pct_Pop_5_17_ACS_17_21,pct_Pop_18_24_ACS_17_21,pct_Pop_25_44_ACS_17_21,pct_Pop_45_64_ACS_17_21,pct_Pop_65plus_ACS_17_21,pct_Hispanic_ACS_17_21,pct_NH_White_alone_ACS_17_21,pct_NH_Blk_alone_ACS_17_21,pct_NH_AIAN_alone_ACS_17_21,pct_NH_Asian_alone_ACS_17_21,pct_NH_NHOPI_alone_ACS_17_21,pct_NH_SOR_alone_ACS_17_21,pct_NH_Multi_Races_ACS_17_21,pct_Othr_Lang_ACS_17_21,pct_Not_HS_Grad_ACS_17_21,pct_College_ACS_17_21,pct_Prs_Blw_Pov_Lev_ACS_17_21,pct_Rel_Family_HHD_ACS_17_21,pct_MrdCple_HHD_ACS_17_21,pct_Not_MrdCple_HHD_ACS_17_21,pct_HHD_PPL_Und_18_ACS_17_21,avg_Tot_Prns_in_HHD_ACS_17_21,pct_Rel_Under_6_ACS_17_21,pct_PUB_ASST_INC_ACS_17_21,Med_HHD_Inc_BG_ACS_17_21,Aggregate_HH_INC_ACS_17_21,avg_Agg_HH_INC_ACS_17_21,Tot_Housing_Units_ACS_17_21,Tot_Occp_Units_ACS_17_21,pct_Tot_Occp_Units_ACS_17_21,Occp_U_NO_PH_SRVC_ACS_17_21,pct_Occp_U_NO_PH_SRVC_ACS_17_21,phone_response_rate_cen_2020,pct_URBAN_POP_CEN_2020,pct_RURAL_POP_CEN_2020
5.3004E+11,0.312,1486,48.72,38.8,16.89,7.47,23.62,23.55,22.27,9.49,79.61,0,0,1.08,0,0,9.83,5.24,15.12,13.37,33.85,68.32,45.66,54.34,27.96,2.62,20.73,4.25,41288,27187400,48119,612,565,0.923202614,0,0,2.4,100,0
5.3004E+11,0.301,911,50.82,46.5,16.03,8.34,19.76,29.86,23.71,3.95,92.97,0.55,0,0.44,0,0,2.09,5.17,10.78,17.66,13.01,48.55,29.98,70.02,19.02,1.98,10.14,4.25,43295,27131200,60696,447,447,1,0,0,2.8,100,0
5.3004E+11,0.141,845,37.99,37.4,10.41,14.2,23.31,27.57,16.21,9.7,68.52,12.9,0,1.3,0,0.71,6.86,8.13,3,19.58,28.52,46.96,38.85,61.15,27.36,2.85,21.58,6.42,39583,14143500,47782,336,296,0.880952381,0,0,3.3,100,0
5.3004E+11,0.195,773,63.13,29.5,5.95,15.14,30.27,17.59,10.48,7.63,86.93,0,0,0,0,0,5.43,5.7,15.74,15.96,4.79,49.21,34.92,65.08,38.73,2.44,56.77,3.17,53427,17585800,55828,344,315,0.915697674,5,0.014534884,1.5,100,0
5.3004E+11,0.198,1102,53.09,48.5,8.08,14.7,19.15,31.76,22.96,2,88.84,0,2.9,1.36,0,0,4.9,4.69,4.91,28.01,14.48,38.83,28.74,71.26,11.07,2.01,15,8.16,45391,43361500,84197,515,515,1,0,0,2.3,100,0
5.3004E+11,0.19,763,53.74,36.8,17.96,11.8,31.98,15.47,16.12,0.79,71.3,0,0,24.12,0,0,3.8,21.77,0,19.59,3.8,56.98,41.62,58.38,34.92,2.13,39.71,4.19,80714,23324900,65153,411,358,0.871046229,0,0,1.1,100,0
5.3004E+11,0.203,825,42.79,43.1,15.03,0.61,24,28,16.48,0,100,0,0,0,0,0,0,0,29.38,6.02,16.24,71.29,50.5,49.5,36.63,2.72,38.89,11.55,41495,17843500,58889,303,303,1,0,0,3.4,100,0
5.3004E+11,0.906,1260,49.76,58,10.87,4.05,21.19,19.84,39.68,0.08,97.86,0,0,0.08,0,1.98,0,3.49,8.46,20.35,13.55,80.34,70.04,29.96,23.97,2.33,13.99,0,73750,47727100,89377,534,534,1,0,0,1.3,100,0
5.3004E+11,0.422,1062,57.16,34.7,18.55,4.71,28.81,25.61,11.96,0,97.74,0,0,0,0,0,2.26,0,1.84,40.71,9.7,66.93,57.94,42.06,35.19,2.81,28.06,0,52206,25425700,67264,378,378,1,0,0,1.6,100,0
5.3004E+11,0.603,864,55.21,51.4,25.81,0,11.23,38.89,22.69,0,81.6,0,18.4,0,0,0,0,1.41,0,28.3,20.83,74.49,53.57,46.43,39.29,2.2,2.05,0,37500,23402000,59699,433,392,0.905311778,0,0,1.7,97.95,2.05
5.3005E+11,0.813,2277,47.69,54.2,15.24,1.8,17.39,35.57,26.79,2.5,88.67,0.04,0.57,7.47,0,0,0.75,14.02,3.8,57.05,1.76,67.27,58.98,41.02,20.16,2.24,7.86,0,91229,107763500,107548,1068,1002,0.938202247,0,0,1.2,100,0
5.3005E+11,1.624,2596,54.55,39,20.96,5.7,27.66,18.18,24,7.4,81.66,0.35,0,8.51,0,0,2.08,8.14,1.88,59.18,3.03,62.73,50.92,49.08,27.39,2.64,15.1,0,110250,122777800,125028,1009,982,0.973240833,0,0,0.7,100,0
5.3005E+11,0.378,1763,50.48,33.5,22.23,3.8,30.97,28.25,14.07,7.49,86.73,0,0,0.62,0,0,5.16,9.02,7.2,40.02,4.08,50.9,25.51,74.49,26.71,2.12,4.73,5.05,72860,75204300,90499,831,831,1,0,0,1.1,100,0
5.3005E+11,0.218,1046,41.2,42.3,9.85,5.26,26.48,18.36,27.15,3.82,79.64,0.29,3.92,0,0,12.33,0,3.18,0,46.22,11.09,43.64,43.64,56.36,17.73,2.33,23.96,0,69694,34767600,79017,440,440,1,0,0,1.6,100,0
5.3005E+11,10.155,923,46.59,35.4,17.98,5.74,25.68,31.64,10.94,0,83.53,0,0,9.1,0,4.66,2.71,8.95,0,39.68,0,75.08,75.08,24.92,38.72,3.11,19.28,0,170625,50963900,171596,297,297,1,0,0,0.2,59.5,40.5
5.3005E+11,6.062,1986,54.68,47.1,10.52,5.44,20.39,34.89,17.88,3.07,76.74,0,0,15.06,0,0,5.14,14.41,0,57.33,2.41,79.42,76.91,23.09,34.77,2.76,27.15,0,142569,104913300,145916,719,719,1,0,0,0.1,96.29,3.71
5.3005E+11,1.16,1613,47.74,28.6,22.63,3.16,51.08,8.37,8.06,29.32,59.14,0,0,7.94,0,0.99,2.6,16.28,3.49,40.31,35.09,53.69,24.33,75.67,31.55,2.53,28.36,2.04,62192,51846000,81391,637,637,1,12,0.018838305,0.1,100,0
5.3005E+11,0.258,1871,56.87,30.7,20.68,23.78,22.93,18.39,12.93,42.06,44.58,6.31,0,6.57,0,0,0.48,36.17,5.12,33.4,2.57,74.2,49.36,50.64,35.1,3,23.54,6.25,57230,58848700,94309,678,624,0.920353982,0,0,0.9,100,0
5.3005E+11,0.253,1153,53.86,34.6,32,1.82,41.11,14.92,10.15,1.82,85.34,4.77,2.17,0,0,0,5.9,4.77,1.97,38.93,1.31,65.02,55.38,44.62,44.62,2.59,0,4.48,105750,49326900,110598,446,446,1,0,0,0.8,100,0
5.3005E+11,0.128,1052,48.67,32.6,8.27,10.46,55.51,9.22,13.5,11.79,63.97,0,0,11.31,0,0,12.93,21.96,1.58,39.61,18.92,32.61,29.81,70.19,6.83,1.63,13.81,4.97,62089,39382600,61153,644,644,1,0,0,1.3,100,0
